iso;country;language;id;region1;region2;region3;region4;locality;postcode;suburb;latitude;longitude;elevation;iso2;fips;nuts;hasc;stat;timezone;utc;dst
DE;Deutschland;DE;1031342948;Berlin;;Berlin;;Berlin;13129;Blankenburg;52.578220;13.450706;48;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342974;Berlin;;Berlin;;Berlin;13127;Blankenfelde;52.633856;13.420757;50;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342975;Berlin;;Berlin;;Berlin;13159;Blankenfelde;52.592441;13.398919;49;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342855;Berlin;;Berlin;;Berlin;12526;Bohnsdorf;52.422798;13.532762;36;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343050;Berlin;;Berlin;;Berlin;13509;Borsigwalde;52.585011;13.301963;38;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342790;Berlin;;Berlin;;Berlin;12099;Britz;52.464305;13.399226;44;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342791;Berlin;;Berlin;;Berlin;12347;Britz;52.458603;13.428192;46;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342792;Berlin;;Berlin;;Berlin;12349;Britz;52.447414;13.420281;38;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342793;Berlin;;Berlin;;Berlin;12351;Britz;52.430325;13.442176;48;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342794;Berlin;;Berlin;;Berlin;12359;Britz;52.455225;13.446695;49;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
